epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
1,9.157465,8.911131,8.911131,0,1.80e-05,4.3,1
2,8.508164,7.888466,7.888466,0,3.60e-05,4.3,1
3,7.448708,6.494816,6.494816,0,5.40e-05,4.2,1
4,6.072615,4.860338,4.860338,0,7.20e-05,4.3,1
5,4.620135,3.630043,3.630043,0,9.00e-05,4.2,1
6,3.533679,2.891111,2.891111,0,1.08e-04,4.2,1
7,2.895262,2.514438,2.514438,0,1.26e-04,4.3,1
8,2.586138,2.321261,2.321261,0,1.44e-04,4.2,1
9,2.401722,2.228055,2.228055,0,1.62e-04,4.2,1
10,2.293476,2.194151,2.194151,0,1.80e-04,4.2,1
11,2.244082,2.134663,2.134663,0,1.98e-04,4.2,1
12,2.157718,1.995318,1.995318,0,2.16e-04,4.3,1
13,2.094476,2.025324,1.995318,1,2.34e-04,4.3,0
14,2.045952,2.009186,1.995318,2,2.52e-04,4.2,0
15,2.012025,1.904441,1.904441,0,2.70e-04,4.2,1
16,1.952837,1.937882,1.904441,1,2.88e-04,4.2,0
17,1.940934,1.913946,1.904441,2,3.00e-04,4.2,0
18,1.902030,1.905710,1.904441,3,3.00e-04,4.2,0
19,1.910013,1.860229,1.860229,0,3.00e-04,4.2,1
20,1.843386,1.799236,1.799236,0,3.00e-04,4.2,1
21,1.819160,1.934887,1.799236,1,3.00e-04,4.2,0
22,1.861210,1.878479,1.799236,2,3.00e-04,4.2,0
23,1.881803,1.819238,1.799236,3,2.99e-04,4.2,0
24,1.820765,1.767926,1.767926,0,2.99e-04,4.2,1
25,1.792287,1.725845,1.725845,0,2.99e-04,4.3,1
26,1.721946,1.745745,1.725845,1,2.99e-04,4.2,0
27,1.733776,1.717108,1.717108,0,2.99e-04,4.2,1
28,1.732892,1.709049,1.709049,0,2.98e-04,4.2,1
29,1.682318,1.685581,1.685581,0,2.98e-04,4.2,1
30,1.678066,1.650916,1.650916,0,2.98e-04,4.3,1
31,1.639882,1.620343,1.620343,0,2.97e-04,4.2,1
32,1.624799,1.622783,1.620343,1,2.97e-04,4.2,0
33,1.614686,1.589213,1.589213,0,2.96e-04,4.2,1
34,1.595064,1.553282,1.553282,0,2.96e-04,4.2,1
35,1.567190,1.563277,1.553282,1,2.95e-04,4.2,0
36,1.541016,1.555985,1.553282,2,2.95e-04,4.2,0
37,1.542185,1.522276,1.522276,0,2.94e-04,4.3,1
38,1.525199,1.586326,1.522276,1,2.94e-04,4.2,0
39,1.545865,1.504540,1.504540,0,2.93e-04,4.2,1
40,1.499338,1.480850,1.480850,0,2.93e-04,4.2,1
41,1.484320,1.511477,1.480850,1,2.92e-04,4.2,0
42,1.490127,1.467638,1.467638,0,2.91e-04,4.2,1
