epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
1,9.207699,8.560541,8.560541,0,2.70e-05,0.5,1
2,7.853454,6.430112,6.430112,0,5.40e-05,0.5,1
3,5.567954,3.837243,3.837243,0,8.10e-05,0.5,1
4,3.338668,2.397235,2.397235,0,1.08e-04,0.5,1
5,2.311690,1.888357,1.888357,0,1.35e-04,0.6,1
6,1.951848,1.653286,1.653286,0,1.62e-04,0.5,1
7,1.764877,1.529896,1.529896,0,1.89e-04,0.5,1
8,1.647461,1.462339,1.462339,0,2.16e-04,0.5,1
9,1.558478,1.404228,1.404228,0,2.43e-04,0.5,1
10,1.482835,1.366524,1.366524,0,2.70e-04,0.5,1
11,1.432770,1.306896,1.306896,0,2.97e-04,0.5,1
12,1.364695,1.253112,1.253112,0,3.00e-04,0.5,1
13,1.319333,1.222251,1.222251,0,3.00e-04,0.5,1
14,1.270370,1.186127,1.186127,0,3.00e-04,0.5,1
15,1.229351,1.138360,1.138360,0,2.99e-04,0.5,1
16,1.193519,1.117102,1.117102,0,2.99e-04,0.5,1
17,1.156120,1.087705,1.087705,0,2.99e-04,0.5,1
18,1.132619,1.080584,1.080584,0,2.98e-04,0.5,1
19,1.105281,1.062197,1.062197,0,2.98e-04,0.6,1
20,1.085957,1.040104,1.040104,0,2.97e-04,0.5,1
21,1.071044,1.032210,1.032210,0,2.96e-04,0.5,1
22,1.052969,1.016018,1.016018,0,2.95e-04,0.5,1
23,1.039485,1.020358,1.016018,1,2.95e-04,0.5,0
24,1.023267,1.004740,1.004740,0,2.94e-04,0.5,1
25,1.015721,1.005970,1.004740,1,2.93e-04,0.5,0
26,1.007756,1.005770,1.004740,2,2.92e-04,0.5,0
27,0.997369,0.984573,0.984573,0,2.90e-04,0.5,1
28,0.991589,0.984710,0.984573,1,2.89e-04,0.5,0
29,0.983520,0.980345,0.980345,0,2.88e-04,0.5,1
30,0.975912,0.977878,0.977878,0,2.87e-04,0.5,1
31,0.971059,0.962963,0.962963,0,2.85e-04,0.5,1
32,0.967050,0.963121,0.962963,1,2.84e-04,0.5,0
33,0.961749,0.962444,0.962444,0,2.82e-04,0.5,1
34,0.957262,0.955260,0.955260,0,2.80e-04,0.5,1
35,0.954347,0.960763,0.955260,1,2.79e-04,0.5,0
36,0.948201,0.952309,0.952309,0,2.77e-04,0.5,1
37,0.945490,0.957006,0.952309,1,2.75e-04,0.5,0
38,0.942089,0.946116,0.946116,0,2.73e-04,0.5,1
39,0.938442,0.949147,0.946116,1,2.71e-04,0.5,0
40,0.935630,0.947758,0.946116,2,2.69e-04,0.5,0
41,0.933383,0.944998,0.944998,0,2.67e-04,0.5,1
42,0.930361,0.945185,0.944998,1,2.65e-04,0.5,0
43,0.928689,0.940613,0.940613,0,2.63e-04,0.5,1
44,0.928446,0.933517,0.933517,0,2.60e-04,0.5,1
45,0.925234,0.935070,0.933517,1,2.58e-04,0.5,0
46,0.921481,0.937402,0.933517,2,2.56e-04,0.5,0
47,0.920414,0.934332,0.933517,3,2.53e-04,0.5,0
48,0.918536,0.928737,0.928737,0,2.51e-04,0.5,1
49,0.917456,0.932843,0.928737,1,2.48e-04,0.5,0
50,0.914781,0.924790,0.924790,0,2.46e-04,0.5,1
51,0.914483,0.928259,0.924790,1,2.43e-04,0.5,0
52,0.912480,0.927960,0.924790,2,2.40e-04,0.5,0
53,0.912268,0.924316,0.924316,0,2.38e-04,0.5,1
54,0.910057,0.922122,0.922122,0,2.35e-04,0.5,1
55,0.909833,0.924099,0.922122,1,2.32e-04,0.5,0
56,0.908398,0.917204,0.917204,0,2.29e-04,0.5,1
57,0.906577,0.917289,0.917204,1,2.26e-04,0.5,0
58,0.906349,0.917357,0.917204,2,2.23e-04,0.5,0
59,0.902732,0.915657,0.915657,0,2.20e-04,0.5,1
60,0.903242,0.914209,0.914209,0,2.17e-04,0.5,1
61,0.901946,0.916033,0.914209,1,2.14e-04,0.5,0
62,0.899946,0.911795,0.911795,0,2.11e-04,0.5,1
63,0.900817,0.912649,0.911795,1,2.08e-04,0.5,0
64,0.898726,0.914115,0.911795,2,2.05e-04,0.5,0
65,0.898445,0.908661,0.908661,0,2.02e-04,0.5,1
66,0.897620,0.910795,0.908661,1,1.98e-04,0.5,0
67,0.896433,0.908148,0.908148,0,1.95e-04,0.5,1
68,0.896697,0.908713,0.908148,1,1.92e-04,0.5,0
69,0.895494,0.906294,0.906294,0,1.89e-04,0.5,1
70,0.894429,0.908708,0.906294,1,1.85e-04,0.5,0
71,0.894920,0.906832,0.906294,2,1.82e-04,0.5,0
72,0.892612,0.905003,0.905003,0,1.79e-04,0.5,1
73,0.892852,0.904843,0.904843,0,1.76e-04,0.5,1
74,0.892110,0.906669,0.904843,1,1.72e-04,0.5,0
75,0.891502,0.901654,0.901654,0,1.69e-04,0.5,1
76,0.891363,0.904126,0.901654,1,1.65e-04,0.5,0
77,0.890186,0.902799,0.901654,2,1.62e-04,0.5,0
78,0.889634,0.901855,0.901654,3,1.59e-04,0.6,0
79,0.888815,0.901983,0.901654,4,1.55e-04,0.5,0
80,0.888245,0.899474,0.899474,0,1.52e-04,0.5,1
81,0.888688,0.898960,0.898960,0,1.48e-04,0.5,1
82,0.889023,0.899216,0.898960,1,1.45e-04,0.5,0
83,0.888231,0.898192,0.898192,0,1.42e-04,0.5,1
84,0.887703,0.897735,0.897735,0,1.38e-04,0.5,1
85,0.887417,0.897904,0.897735,1,1.35e-04,0.5,0
86,0.886140,0.899331,0.897735,2,1.32e-04,0.5,0
87,0.885780,0.899430,0.897735,3,1.28e-04,0.5,0
88,0.885879,0.897154,0.897154,0,1.25e-04,0.5,1
89,0.884945,0.896905,0.896905,0,1.22e-04,0.6,1
90,0.884756,0.897277,0.896905,1,1.18e-04,0.6,0
91,0.885228,0.893970,0.893970,0,1.15e-04,0.5,1
92,0.883841,0.896427,0.893970,1,1.12e-04,0.6,0
93,0.884349,0.894882,0.893970,2,1.08e-04,0.5,0
94,0.884380,0.892393,0.892393,0,1.05e-04,0.5,1
95,0.883367,0.894852,0.892393,1,1.02e-04,0.5,0
96,0.883674,0.895025,0.892393,2,9.87e-05,0.6,0
97,0.883212,0.895333,0.892393,3,9.55e-05,0.5,0
98,0.882304,0.892937,0.892393,4,9.23e-05,0.5,0
99,0.883340,0.890679,0.890679,0,8.92e-05,0.5,1
100,0.881868,0.891348,0.890679,1,8.61e-05,0.5,0
101,0.881664,0.892163,0.890679,2,8.31e-05,0.5,0
102,0.881321,0.891141,0.890679,3,8.01e-05,0.5,0
103,0.881591,0.890084,0.890084,0,7.71e-05,0.5,1
104,0.881161,0.892693,0.890084,1,7.41e-05,0.5,0
105,0.881827,0.891894,0.890084,2,7.12e-05,0.5,0
106,0.881368,0.891795,0.890084,3,6.84e-05,0.5,0
107,0.881448,0.890174,0.890084,4,6.55e-05,0.5,0
108,0.881170,0.890162,0.890084,5,6.27e-05,0.5,0
109,0.879941,0.890591,0.890084,6,6.00e-05,0.5,0
110,0.880236,0.890030,0.890030,0,5.73e-05,0.5,1
111,0.880208,0.889331,0.889331,0,5.47e-05,0.5,1
112,0.879238,0.889591,0.889331,1,5.21e-05,0.5,0
113,0.880269,0.888742,0.888742,0,4.95e-05,0.5,1
114,0.879124,0.888522,0.888522,0,4.70e-05,0.5,1
115,0.879408,0.888179,0.888179,0,4.46e-05,0.6,1
116,0.879081,0.889202,0.888179,1,4.22e-05,0.6,0
117,0.879584,0.888539,0.888179,2,3.99e-05,0.6,0
118,0.879388,0.889875,0.888179,3,3.76e-05,0.6,0
119,0.878095,0.889072,0.888179,4,3.54e-05,0.6,0
120,0.878909,0.888483,0.888179,5,3.32e-05,0.8,0
121,0.879063,0.888840,0.888179,6,3.11e-05,0.5,0
122,0.878381,0.887535,0.887535,0,2.91e-05,0.5,1
123,0.878901,0.888770,0.887535,1,2.71e-05,0.5,0
124,0.878544,0.888065,0.887535,2,2.52e-05,0.5,0
125,0.878668,0.888458,0.887535,3,2.34e-05,0.5,0
126,0.878177,0.887901,0.887535,4,2.16e-05,0.6,0
127,0.878625,0.887700,0.887535,5,1.98e-05,0.6,0
