epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
1,4.437932,3.820506,3.820506,0,3.00e-04,3.6,1
2,3.670906,3.488167,3.488167,0,3.00e-04,3.6,1
3,3.217364,2.835703,2.835703,0,3.00e-04,3.6,1
4,2.619277,2.412047,2.412047,0,3.00e-04,3.6,1
5,2.325942,2.244992,2.244992,0,3.00e-04,3.6,1
6,2.211120,2.150798,2.150798,0,3.00e-04,3.6,1
7,2.134334,2.111024,2.111024,0,2.99e-04,3.6,1
8,2.079852,2.088674,2.088674,0,2.99e-04,3.6,1
9,2.067318,2.039686,2.039686,0,2.99e-04,3.5,1
10,2.014773,2.055561,2.039686,1,2.99e-04,3.5,0
11,1.988748,1.966674,1.966674,0,2.99e-04,3.5,1
12,1.944930,1.920976,1.920976,0,2.98e-04,3.5,1
13,1.927933,1.897588,1.897588,0,2.98e-04,3.6,1
14,1.877666,1.859405,1.859405,0,2.98e-04,3.5,1
15,1.821506,1.817005,1.817005,0,2.97e-04,3.5,1
16,1.810970,1.796002,1.796002,0,2.97e-04,3.5,1
17,1.812374,1.805501,1.796002,1,2.97e-04,3.6,0
18,1.765037,1.784397,1.784397,0,2.96e-04,3.5,1
19,1.760244,1.727448,1.727448,0,2.96e-04,3.5,1
20,1.715475,1.739193,1.727448,1,2.95e-04,3.5,0
21,1.710099,1.673613,1.673613,0,2.95e-04,3.5,1
22,1.642951,1.647440,1.647440,0,2.94e-04,3.6,1
23,1.618867,1.640340,1.640340,0,2.94e-04,3.5,1
24,1.641402,1.627325,1.627325,0,2.93e-04,3.6,1
25,1.624587,1.637358,1.627325,1,2.93e-04,3.6,0
26,1.602842,1.587736,1.587736,0,2.92e-04,3.5,1
27,1.571655,1.577386,1.577386,0,2.91e-04,3.5,1
28,1.568982,1.575900,1.575900,0,2.91e-04,3.5,1
29,1.549893,1.555950,1.555950,0,2.90e-04,3.5,1
30,1.525589,1.552736,1.552736,0,2.89e-04,3.6,1
31,1.513681,1.511249,1.511249,0,2.89e-04,3.6,1
32,1.486375,1.488785,1.488785,0,2.88e-04,3.6,1
33,1.467861,1.489335,1.488785,1,2.87e-04,3.6,0
34,1.470002,1.496093,1.488785,2,2.87e-04,3.6,0
35,1.469011,1.470259,1.470259,0,2.86e-04,3.6,1
36,1.441800,1.472934,1.470259,1,2.85e-04,3.6,0
37,1.445888,1.438710,1.438710,0,2.84e-04,3.6,1
38,1.427063,1.449080,1.438710,1,2.83e-04,3.6,0
39,1.444947,1.438736,1.438710,2,2.82e-04,3.6,0
40,1.403736,1.393573,1.393573,0,2.81e-04,3.6,1
41,1.381604,1.419114,1.393573,1,2.81e-04,3.6,0
42,1.391161,1.387815,1.387815,0,2.80e-04,3.6,1
43,1.361142,1.382088,1.382088,0,2.79e-04,3.6,1
44,1.360604,1.379370,1.379370,0,2.78e-04,3.6,1
45,1.355471,1.387769,1.379370,1,2.77e-04,3.6,0
46,1.380090,1.380543,1.379370,2,2.76e-04,3.6,0
47,1.353147,1.365740,1.365740,0,2.75e-04,3.5,1
48,1.340048,1.347417,1.347417,0,2.74e-04,3.5,1
49,1.332344,1.354813,1.347417,1,2.72e-04,3.5,0
50,1.335034,1.352355,1.347417,2,2.71e-04,3.6,0
51,1.330895,1.354142,1.347417,3,2.70e-04,3.5,0
52,1.322594,1.338094,1.338094,0,2.69e-04,3.5,1
53,1.324230,1.346931,1.338094,1,2.68e-04,3.6,0
54,1.333817,1.354132,1.338094,2,2.67e-04,3.6,0
55,1.317260,1.333659,1.333659,0,2.66e-04,3.6,1
56,1.305748,1.308265,1.308265,0,2.64e-04,3.6,1
57,1.281640,1.312509,1.308265,1,2.63e-04,3.6,0
58,1.281986,1.302320,1.302320,0,2.62e-04,3.6,1
59,1.284005,1.306886,1.302320,1,2.61e-04,3.6,0
60,1.279195,1.304562,1.302320,2,2.59e-04,3.5,0
61,1.270524,1.276979,1.276979,0,2.58e-04,3.6,1
62,1.251767,1.286219,1.276979,1,2.57e-04,3.5,0
63,1.255813,1.288270,1.276979,2,2.55e-04,3.5,0
64,1.270681,1.293531,1.276979,3,2.54e-04,3.6,0
65,1.258946,1.276885,1.276885,0,2.53e-04,3.5,1
66,1.252060,1.284347,1.276885,1,2.51e-04,3.6,0
67,1.245602,1.264197,1.264197,0,2.50e-04,3.6,1
68,1.228645,1.257508,1.257508,0,2.48e-04,3.6,1
69,1.227989,1.270603,1.257508,1,2.47e-04,3.5,0
70,1.228454,1.258134,1.257508,2,2.46e-04,3.5,0
71,1.233852,1.260316,1.257508,3,2.44e-04,3.5,0
72,1.225126,1.242745,1.242745,0,2.43e-04,3.5,1
73,1.214891,1.245183,1.242745,1,2.41e-04,3.6,0
74,1.208260,1.241668,1.241668,0,2.40e-04,3.6,1
75,1.207929,1.249980,1.241668,1,2.38e-04,3.6,0
76,1.207002,1.236802,1.236802,0,2.37e-04,3.6,1
77,1.202487,1.234307,1.234307,0,2.35e-04,3.6,1
78,1.199814,1.232882,1.232882,0,2.34e-04,3.6,1
79,1.197524,1.233132,1.232882,1,2.32e-04,3.6,0
80,1.194772,1.231531,1.231531,0,2.30e-04,3.5,1
81,1.192018,1.228602,1.228602,0,2.29e-04,3.5,1
82,1.188746,1.221910,1.221910,0,2.27e-04,3.6,1
83,1.180961,1.220686,1.220686,0,2.26e-04,3.6,1
84,1.180050,1.217224,1.217224,0,2.24e-04,3.6,1
85,1.178229,1.219297,1.217224,1,2.22e-04,3.6,0
86,1.179744,1.219756,1.217224,2,2.21e-04,3.6,0
87,1.189393,1.225708,1.217224,3,2.19e-04,3.6,0
88,1.187191,1.221501,1.217224,4,2.17e-04,3.6,0
89,1.185113,1.216318,1.216318,0,2.16e-04,3.6,1
90,1.173019,1.209155,1.209155,0,2.14e-04,3.6,1
91,1.167557,1.216117,1.209155,1,2.12e-04,3.6,0
92,1.167432,1.211175,1.209155,2,2.10e-04,3.6,0
93,1.165039,1.210096,1.209155,3,2.09e-04,3.6,0
94,1.160247,1.196096,1.196096,0,2.07e-04,3.6,1
95,1.156499,1.204135,1.196096,1,2.05e-04,3.6,0
96,1.154144,1.207857,1.196096,2,2.03e-04,3.6,0
97,1.159252,1.222119,1.196096,3,2.02e-04,3.6,0
98,1.166004,1.198954,1.196096,4,2.00e-04,3.6,0
99,1.152291,1.202874,1.196096,5,1.98e-04,3.5,0
100,1.145868,1.190755,1.190755,0,1.96e-04,3.6,1
101,1.145265,1.193549,1.190755,1,1.95e-04,3.6,0
102,1.145776,1.185910,1.185910,0,1.93e-04,3.6,1
103,1.143027,1.183878,1.183878,0,1.91e-04,3.6,1
104,1.139251,1.182673,1.182673,0,1.89e-04,3.6,1
105,1.135104,1.183155,1.182673,1,1.87e-04,3.6,0
106,1.131971,1.178683,1.178683,0,1.85e-04,3.6,1
107,1.132894,1.181096,1.178683,1,1.84e-04,3.5,0
108,1.132238,1.178306,1.178306,0,1.82e-04,3.6,1
109,1.135290,1.185966,1.178306,1,1.80e-04,3.6,0
110,1.135226,1.185433,1.178306,2,1.78e-04,3.6,0
111,1.134626,1.184627,1.178306,3,1.76e-04,3.6,0
112,1.131963,1.180767,1.178306,4,1.74e-04,3.6,0
113,1.131770,1.182419,1.178306,5,1.73e-04,3.6,0
114,1.131551,1.173258,1.173258,0,1.71e-04,3.6,1
115,1.127859,1.170687,1.170687,0,1.69e-04,3.6,1
116,1.127258,1.168385,1.168385,0,1.67e-04,3.6,1
117,1.124422,1.171671,1.168385,1,1.65e-04,3.6,0
118,1.121577,1.169797,1.168385,2,1.63e-04,3.6,0
119,1.119284,1.170409,1.168385,3,1.61e-04,3.6,0
120,1.116412,1.175740,1.168385,4,1.59e-04,3.6,0
121,1.116964,1.164060,1.164060,0,1.58e-04,3.6,1
122,1.113379,1.167596,1.164060,1,1.56e-04,3.6,0
123,1.110879,1.161361,1.161361,0,1.54e-04,3.6,1
124,1.110646,1.168356,1.161361,1,1.52e-04,3.6,0
125,1.109644,1.160806,1.160806,0,1.50e-04,3.6,1
126,1.107887,1.162039,1.160806,1,1.48e-04,3.6,0
127,1.107416,1.156520,1.156520,0,1.46e-04,3.6,1
128,1.104463,1.154336,1.154336,0,1.44e-04,3.6,1
129,1.104583,1.155391,1.154336,1,1.42e-04,3.6,0
130,1.103310,1.149712,1.149712,0,1.41e-04,3.6,1
131,1.103981,1.157005,1.149712,1,1.39e-04,3.6,0
