epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
1,5.637352,5.175879,5.175879,0,2.70e-05,0.7,1
2,4.741323,4.269174,4.269174,0,5.40e-05,0.6,1
3,4.053485,3.820405,3.820405,0,8.10e-05,0.6,1
4,3.705647,3.559435,3.559435,0,1.08e-04,0.6,1
5,3.319396,2.877511,2.877511,0,1.35e-04,0.6,1
6,2.537652,2.161589,2.161589,0,1.62e-04,0.6,1
7,2.053417,1.837277,1.837277,0,1.89e-04,0.6,1
8,1.828989,1.654082,1.654082,0,2.16e-04,0.6,1
9,1.675199,1.524524,1.524524,0,2.43e-04,0.6,1
10,1.554055,1.416532,1.416532,0,2.70e-04,0.6,1
11,1.459399,1.316504,1.316504,0,2.97e-04,0.6,1
12,1.381194,1.270840,1.270840,0,3.00e-04,0.6,1
13,1.315240,1.215828,1.215828,0,3.00e-04,0.6,1
14,1.265788,1.180176,1.180176,0,3.00e-04,0.6,1
15,1.227997,1.139051,1.139051,0,2.99e-04,0.6,1
16,1.192946,1.120699,1.120699,0,2.99e-04,0.6,1
17,1.157557,1.086592,1.086592,0,2.99e-04,0.6,1
18,1.129140,1.062460,1.062460,0,2.98e-04,0.6,1
19,1.105621,1.034677,1.034677,0,2.98e-04,0.6,1
20,1.084457,1.017691,1.017691,0,2.97e-04,0.6,1
21,1.062057,0.999686,0.999686,0,2.96e-04,0.6,1
22,1.040289,0.988941,0.988941,0,2.95e-04,0.6,1
23,1.022421,0.978386,0.978386,0,2.95e-04,0.6,1
24,1.009990,0.972362,0.972362,0,2.94e-04,0.6,1
25,0.999318,0.956862,0.956862,0,2.93e-04,0.6,1
26,0.986604,0.954407,0.954407,0,2.92e-04,0.6,1
27,0.978170,0.947651,0.947651,0,2.90e-04,0.6,1
28,0.970846,0.940735,0.940735,0,2.89e-04,0.6,1
29,0.960942,0.932827,0.932827,0,2.88e-04,0.6,1
30,0.955585,0.925848,0.925848,0,2.87e-04,0.6,1
31,0.951095,0.924317,0.924317,0,2.85e-04,0.6,1
32,0.939316,0.919718,0.919718,0,2.84e-04,0.7,1
33,0.934594,0.913840,0.913840,0,2.82e-04,0.6,1
34,0.932007,0.909148,0.909148,0,2.80e-04,0.6,1
35,0.926789,0.906964,0.906964,0,2.79e-04,0.6,1
36,0.924431,0.905935,0.905935,0,2.77e-04,0.6,1
37,0.921320,0.902989,0.902989,0,2.75e-04,0.6,1
38,0.916124,0.901712,0.901712,0,2.73e-04,0.6,1
39,0.914562,0.896941,0.896941,0,2.71e-04,0.6,1
40,0.908730,0.893425,0.893425,0,2.69e-04,0.6,1
41,0.907481,0.892581,0.892581,0,2.67e-04,0.6,1
42,0.906425,0.892573,0.892573,0,2.65e-04,0.6,1
43,0.902941,0.889610,0.889610,0,2.63e-04,0.6,1
44,0.901610,0.890169,0.889610,1,2.60e-04,0.6,0
45,0.900736,0.886717,0.886717,0,2.58e-04,0.6,1
46,0.898068,0.884339,0.884339,0,2.56e-04,0.6,1
47,0.895095,0.885359,0.884339,1,2.53e-04,0.6,0
48,0.896460,0.891795,0.884339,2,2.51e-04,0.6,0
49,0.893889,0.885039,0.884339,3,2.48e-04,0.6,0
50,0.892204,0.882828,0.882828,0,2.46e-04,0.6,1
51,0.890937,0.882121,0.882121,0,2.43e-04,0.6,1
52,0.887594,0.883865,0.882121,1,2.40e-04,0.6,0
53,0.889323,0.882122,0.882121,2,2.38e-04,0.6,0
54,0.889847,0.881186,0.881186,0,2.35e-04,0.6,1
55,0.885928,0.876690,0.876690,0,2.32e-04,0.6,1
56,0.884321,0.877053,0.876690,1,2.29e-04,0.6,0
57,0.882343,0.875796,0.875796,0,2.26e-04,0.6,1
58,0.882897,0.876881,0.875796,1,2.23e-04,0.6,0
59,0.882368,0.874331,0.874331,0,2.20e-04,0.6,1
60,0.881413,0.878350,0.874331,1,2.17e-04,0.6,0
61,0.879686,0.875855,0.874331,2,2.14e-04,0.6,0
62,0.880305,0.875435,0.874331,3,2.11e-04,0.6,0
63,0.880564,0.875705,0.874331,4,2.08e-04,0.6,0
64,0.879388,0.875795,0.874331,5,2.05e-04,0.6,0
65,0.878449,0.870813,0.870813,0,2.02e-04,0.6,1
66,0.877120,0.872032,0.870813,1,1.98e-04,0.6,0
67,0.876200,0.873915,0.870813,2,1.95e-04,0.6,0
68,0.875399,0.871903,0.870813,3,1.92e-04,0.6,0
69,0.874649,0.868751,0.868751,0,1.89e-04,0.6,1
70,0.874588,0.871398,0.868751,1,1.85e-04,0.6,0
71,0.874122,0.872321,0.868751,2,1.82e-04,0.6,0
72,0.873170,0.872860,0.868751,3,1.79e-04,0.6,0
73,0.874680,0.869501,0.868751,4,1.76e-04,0.6,0
74,0.872234,0.868063,0.868063,0,1.72e-04,0.6,1
75,0.870715,0.869123,0.868063,1,1.69e-04,0.6,0
76,0.871112,0.867357,0.867357,0,1.65e-04,0.6,1
77,0.870720,0.869059,0.867357,1,1.62e-04,0.6,0
78,0.871726,0.866665,0.866665,0,1.59e-04,0.6,1
79,0.871819,0.869092,0.866665,1,1.55e-04,0.7,0
80,0.870177,0.866746,0.866665,2,1.52e-04,0.6,0
81,0.869214,0.866497,0.866497,0,1.48e-04,0.6,1
82,0.870246,0.868951,0.866497,1,1.45e-04,0.6,0
83,0.868133,0.867048,0.866497,2,1.42e-04,0.6,0
84,0.867729,0.866291,0.866291,0,1.38e-04,0.6,1
85,0.867815,0.867969,0.866291,1,1.35e-04,0.6,0
86,0.868002,0.865284,0.865284,0,1.32e-04,0.6,1
87,0.866978,0.866465,0.865284,1,1.28e-04,0.6,0
88,0.867167,0.865965,0.865284,2,1.25e-04,0.6,0
89,0.867173,0.866126,0.865284,3,1.22e-04,0.6,0
90,0.868089,0.866833,0.865284,4,1.18e-04,0.6,0
91,0.866885,0.865940,0.865284,5,1.15e-04,0.6,0
92,0.867519,0.867600,0.865284,6,1.12e-04,0.6,0
93,0.867087,0.865766,0.865284,7,1.08e-04,0.7,0
